year,category,word,similarity_with_he,similarity_with_she,gender_bias
1901,low_competence,deficient,0.71396464,0.74557,-0.031605363
1901,low_competence,awkward,0.6184292,0.6098617,0.008567512
1901,low_competence,slow,0.47384077,0.40021768,0.07362309
1901,low_competence,dull,0.41737136,0.43861964,-0.021248281
1901,low_competence,fail,0.61149484,0.6045557,0.006939113
1901,low_competence,lack,0.48055965,0.4607818,0.019777834
1901,low_competence,inadequate,0.6620668,0.6449303,0.017136514
1901,low_competence,unsuccessful,0.76593065,0.7068637,0.05906695
1901,low_competence,weak,0.5436189,0.5725863,-0.02896738
1901,low_competence,unreliable,0.6402516,0.6150002,0.025251389
1901,low_competence,poor,0.4697384,0.48621273,-0.016474336
1901,low_competence,insufficient,0.7025817,0.683199,0.019382715
1901,high_warmth,considerate,0.68338555,0.73857856,-0.055193007
1901,high_warmth,caring,0.6682129,0.6585004,0.009712517
1901,high_warmth,compassionate,0.74079305,0.7422412,-0.0014481544
1901,high_warmth,kind,0.48605323,0.47612163,0.009931594
1901,high_warmth,affectionate,0.6716872,0.67293376,-0.0012465715
1901,high_warmth,loving,0.5124466,0.66252404,-0.15007746
1901,high_warmth,understanding,0.6090172,0.59851426,0.010502934
1901,high_warmth,generous,0.5479734,0.52433,0.023643374
1901,high_warmth,thoughtful,0.6063715,0.62505,-0.018678486
1901,high_warmth,tender,0.4716767,0.62559503,-0.15391833
1901,high_warmth,sympathetic,0.6513314,0.6783342,-0.027002752
1901,high_warmth,friendly,0.60048646,0.53835386,0.062132597
1901,high_warmth,gentle,0.45001283,0.5798865,-0.12987366
1901,high_warmth,patient,0.6971766,0.6568064,0.040370166
1901,high_warmth,helpful,0.70721966,0.67412883,0.03309083
1901,high_warmth,altruistic,0.64697367,0.64611644,0.000857234
1901,high_warmth,encouraging,0.7337209,0.7454579,-0.011736989
1901,high_warmth,devoted,0.5465755,0.56535167,-0.018776178
1901,high_warmth,gracious,0.5405846,0.6370117,-0.09642708
1901,high_warmth,humane,0.579286,0.55264753,0.026638448
1901,high_warmth,concerned,0.5267465,0.50690037,0.019846141
1901,high_warmth,giving,0.49430063,0.4866295,0.0076711476
1901,high_warmth,respectful,0.6577179,0.6156533,0.042064607
1901,high_warmth,charitable,0.6901425,0.7495964,-0.059453905
1901,high_warmth,sensitive,0.45547035,0.5769285,-0.12145814
1901,high_warmth,receptive,0.7400614,0.7444778,-0.004416406
1901,high_warmth,welcoming,0.6666387,0.70431125,-0.03767258
1901,low_warmth,cold,0.42266142,0.3929006,0.029760838
1901,low_warmth,cynical,0.54831886,0.57673067,-0.028411806
1901,low_warmth,apathetic,0.70051,0.7034817,-0.0029716492
1901,low_warmth,indifferent,0.5303444,0.54283553,-0.012491107
1901,low_warmth,aloof,0.5890644,0.640393,-0.0513286
1901,low_warmth,distant,0.372573,0.35461715,0.01795584
1901,low_warmth,hostile,0.5565287,0.48685217,0.06967652
1901,low_warmth,unfeeling,0.72870946,0.69823134,0.03047812
1901,low_warmth,callous,0.707069,0.72701514,-0.019946158
1901,low_warmth,detached,0.5708317,0.581267,-0.010435283
1901,low_warmth,unconcerned,0.71746254,0.6882159,0.029246628
1901,low_warmth,unfriendly,0.6857036,0.6659718,0.01973176
1901,low_warmth,harsh,0.5674349,0.5247509,0.04268402
1901,low_warmth,unemotional,0.6795264,0.68524575,-0.0057193637
1901,low_warmth,unsympathetic,0.7792032,0.7390834,0.040119767
1901,low_warmth,unresponsive,0.6887061,0.7175026,-0.028796494
1901,low_warmth,disinterested,0.7565926,0.7243701,0.03222245
1901,low_warmth,ruthless,0.68221986,0.7354391,-0.05321926
1901,low_warmth,hateful,0.7315788,0.68330306,0.04827577
1901,low_warmth,dispassionate,0.7371269,0.75109905,-0.013972163
1901,low_warmth,unkind,0.713287,0.7443765,-0.031089485
1901,low_warmth,cruel,0.56375945,0.61781603,-0.054056585
1901,low_warmth,ungracious,-0.07473924,-0.072605535,-0.0021337047
1901,low_warmth,emotionless,0.68533456,0.6937714,-0.008436859
1901,low_warmth,heartless,0.64168674,0.72795427,-0.08626753
1901,low_warmth,selfish,0.5795876,0.6496955,-0.07010794
1901,occupation_trad_female,assistant,0.68045145,0.5589332,0.121518254
1901,occupation_trad_female,tailor,0.63720036,0.6213046,0.015895784
1901,occupation_trad_female,librarian,-0.09372659,-0.08526188,-0.008464709
1901,occupation_trad_female,cook,0.4937727,0.46050334,0.033269346
1901,occupation_trad_female,teacher,0.41344747,0.55005074,-0.13660327
1901,occupation_trad_female,cleaner,0.7008326,0.69719803,0.003634572
1901,occupation_trad_female,nurse,0.6275657,0.74985904,-0.12229335
1901,occupation_trad_female,housekeeper,0.70217776,0.74427813,-0.04210037
1901,occupation_trad_female,secretary,0.54876834,0.42953402,0.11923432
1901,occupation_trad_male,mechanic,0.67019904,0.6524717,0.017727315
1901,occupation_trad_male,carpenter,0.594769,0.37784362,0.21692538
1901,occupation_trad_male,doctor,0.58105016,0.54166543,0.039384723
1901,occupation_trad_male,engineer,0.6502851,0.4335309,0.21675423
1901,occupation_trad_male,farmer,0.62788343,0.4907192,0.13716424
1901,occupation_trad_male,chef,0.7630131,0.7107983,0.0522148
1901,occupation_trad_male,scientist,0.6960176,0.6983258,-0.0023081899
1901,occupation_trad_male,architect,0.6775579,0.60998744,0.06757045
1901,occupation_trad_male,artist,0.5652371,0.5872473,-0.022010207
1901,occupation_trad_male,police,0.53799325,0.37394905,0.1640442
1901,occupation_trad_male,coach,0.50796163,0.47130162,0.036660016
1901,occupation_trad_male,musician,0.57608175,0.64433223,-0.06825048
1901,occupation_trad_male,journalist,0.7841589,0.7074049,0.076753974
1901,appearance_related,seductive,0.5854407,0.5963142,-0.0108734965
1901,appearance_related,elegant,0.5512405,0.57528657,-0.024046063
1901,appearance_related,sophisticated,0.64996684,0.6449685,0.0049983263
1901,appearance_related,polished,0.34390822,0.3966204,-0.052712172
1901,appearance_related,youthful,0.50427735,0.6397642,-0.13548684
1901,appearance_related,beautiful,0.40567186,0.59880596,-0.1931341
1901,appearance_related,pretty,0.51042765,0.5615048,-0.051077127
1901,appearance_related,attractive,0.47059593,0.5976436,-0.12704769
1901,appearance_related,gorgeous,0.3531757,0.48002222,-0.12684652
1901,appearance_related,thin,0.4371667,0.41670695,0.020459741
1901,appearance_related,tall,0.4437405,0.44047278,0.0032677054
1901,appearance_related,short,0.41922727,0.40207422,0.017153054
1901,appearance_related,wrinkled,0.54456156,0.5312546,0.013306975
1901,appearance_related,ugly,0.5072731,0.5778442,-0.070571125
1901,appearance_related,fit,0.55245894,0.517615,0.03484392
1901,appearance_related,chubby,0.5772902,0.6276207,-0.05033052
1901,appearance_related,fat,0.499615,0.46532553,0.03428948
1993,positive_agency,influence,0.35632402,0.3402428,0.016081214
1993,positive_agency,power,0.37455902,0.3028245,0.07173452
1993,positive_agency,authority,0.38351414,0.3539463,0.029567838
1993,positive_agency,control,0.35094756,0.35265955,-0.0017119944
1993,positive_agency,leadership,0.41105014,0.32213897,0.088911176
1993,positive_agency,mastery,0.41766518,0.35668245,0.060982734
1993,positive_agency,dominion,0.4506219,0.3864925,0.06412941
1993,positive_agency,sovereignty,0.55472887,0.4732989,0.08142996
1993,positive_agency,creator,0.3988508,0.38249218,0.016358614
1993,positive_agency,command,0.36369392,0.25417733,0.10951659
1993,positive_agency,dominance,0.41701144,0.37490728,0.042104155
1993,positive_agency,lead,0.4170093,0.3437712,0.073238105
1993,positive_agency,dominate,0.41980767,0.3975828,0.022224873
1993,positive_agency,create,0.28273246,0.2676805,0.015051961
1993,positive_agency,initiate,0.4996925,0.3861459,0.11354661
1993,positive_agency,direct,0.39204535,0.33078012,0.06126523
1993,positive_agency,rule,0.36759228,0.33888963,0.028702646
1993,positive_agency,guide,0.35999933,0.33260128,0.02739805
1993,positive_agency,shape,0.36129653,0.35458666,0.0067098737
1993,positive_agency,inspire,0.39962348,0.400833,-0.0012095273
1993,positive_agency,enforce,0.515909,0.43713686,0.07877216
1993,positive_agency,independent,0.2856024,0.35961157,-0.07400918
1993,positive_agency,powerful,0.3379456,0.2552232,0.082722396
1993,positive_agency,dominant,0.26879218,0.41970256,-0.15091038
1993,positive_agency,influential,0.4258567,0.36764863,0.05820808
1993,positive_agency,authoritative,0.4830041,0.47167417,0.011329919
1993,positive_agency,sovereign,0.41158083,0.36771896,0.043861866
1993,positive_agency,commanding,0.44593593,0.30393338,0.14200255
1993,positive_agency,masterful,0.51057017,0.57467437,-0.0641042
1993,negative_agency,victim,0.37263134,0.39501148,-0.022380143
1993,negative_agency,follower,0.4642825,0.39281514,0.07146737
1993,negative_agency,subordinate,0.51870114,0.3862683,0.13243285
1993,negative_agency,dependent,0.33601242,0.43577763,-0.09976521
1993,negative_agency,object,0.37462053,0.38676408,-0.012143552
1993,negative_agency,servant,0.45873037,0.45326963,0.005460739
1993,negative_agency,puppet,0.38640955,0.39880764,-0.012398094
1993,negative_agency,oppressed,0.51523006,0.5483156,-0.033085525
1993,negative_agency,captive,0.4606367,0.41902488,0.04161182
1993,negative_agency,helpless,0.36962494,0.41923854,-0.049613595
1993,negative_agency,suffer,0.4254037,0.43833023,-0.012926519
1993,negative_agency,submit,0.38184857,0.3731934,0.008655161
1993,negative_agency,endure,0.41185558,0.4025173,0.0093382895
1993,negative_agency,yield,0.33937016,0.35108113,-0.011710972
1993,negative_agency,depend,0.37562552,0.3980275,-0.022401989
1993,negative_agency,obey,0.41622087,0.45393264,-0.03771177
1993,negative_agency,serve,0.35597825,0.32687226,0.029105991
1993,negative_agency,succumb,0.42946634,0.5396809,-0.11021456
1993,negative_agency,resist,0.35278648,0.4209343,-0.06814781
1993,negative_agency,conform,0.42467257,0.45560688,-0.030934304
1993,negative_agency,bow,0.3733968,0.29780245,0.075594366
1993,negative_agency,powerless,0.3971446,0.45029718,-0.05315259
